x_mi,y_px,y_ft
0.608768,136.50,1061.4
0.611273,137.00,1064.5
0.613779,137.50,1067.6
0.616284,138.50,1073.8
0.618789,139.50,1079.9
0.621294,140.00,1083.0
0.623800,141.00,1089.2
0.626305,141.50,1092.3
0.628810,142.50,1098.4
0.631315,143.50,1104.6
0.633820,143.50,1104.6
0.636326,144.50,1110.8
0.638831,145.50,1116.9
0.641336,145.50,1116.9
0.643841,146.50,1123.1
0.646347,147.00,1126.2
0.648852,148.00,1132.3
0.651357,149.50,1141.6
0.653862,150.00,1144.7
0.656367,151.00,1150.8
0.658873,152.00,1157.0
0.661378,152.50,1160.1
0.663883,153.50,1166.2
0.666388,154.50,1172.4
0.668894,155.00,1175.5
0.671399,156.00,1181.6
0.673904,157.00,1187.8
0.676409,158.50,1197.1
0.678914,159.00,1200.1
0.681420,160.00,1206.3
0.683925,162.00,1218.6
0.686430,162.50,1221.7
0.688935,163.00,1224.8
0.691441,164.50,1234.0
0.693946,165.50,1240.2
0.696451,166.00,1243.3
0.698956,167.00,1249.5
0.701461,168.00,1255.6
0.703967,168.50,1258.7
0.706472,169.00,1261.8
0.708977,169.00,1261.8
0.711482,169.00,1261.8
0.713987,169.00,1261.8
0.716493,170.00,1267.9
0.718998,170.00,1267.9
0.721503,170.00,1267.9
0.724008,170.50,1271.0
0.726514,171.50,1277.2
0.729019,172.00,1280.3
0.731524,172.50,1283.4
0.734029,173.50,1289.5
0.736534,175.00,1298.8
0.739040,175.50,1301.8
0.741545,176.00,1304.9
0.744050,177.50,1314.2
0.746555,177.50,1314.2
0.749061,178.50,1320.3
0.751566,178.50,1320.3
0.754071,179.00,1323.4
0.756576,180.00,1329.6
0.759081,180.50,1332.7
0.761587,180.50,1332.7
0.764092,181.50,1338.8
0.766597,182.50,1345.0
0.769102,182.50,1345.0
0.771608,183.50,1351.2
0.774113,184.00,1354.2
0.776618,185.00,1360.4
0.779123,185.50,1363.5
0.781628,186.00,1366.6
0.784134,187.00,1372.7
0.786639,189.00,1385.1
0.789144,189.00,1385.1
0.791649,190.00,1391.2
0.794154,191.00,1397.4
0.796660,192.00,1403.6
0.799165,192.50,1406.6
0.801670,193.50,1412.8
0.804175,194.50,1419.0
0.806681,194.50,1419.0
0.809186,195.50,1425.1
0.811691,196.00,1428.2
0.814196,196.00,1428.2
0.816701,195.50,1425.1
0.819207,195.50,1425.1
0.821712,196.50,1431.3
0.824217,197.50,1437.5
0.826722,198.00,1440.5
0.829228,199.00,1446.7
0.831733,200.00,1452.9
0.834238,201.50,1462.1
0.836743,203.00,1471.4
0.839248,203.50,1474.5
0.841754,204.50,1480.6
0.844259,205.50,1486.8
0.846764,206.50,1492.9
0.849269,207.00,1496.0
0.851775,207.50,1499.1
0.854280,208.00,1502.2
0.856785,208.50,1505.3
0.859290,208.50,1505.3
0.861795,209.00,1508.4
0.864301,209.50,1511.4
0.866806,210.50,1517.6
0.869311,211.00,1520.7
0.871816,212.00,1526.8
0.874322,213.50,1536.1
0.876827,214.50,1542.3
0.879332,216.00,1551.5
0.881837,217.00,1557.7
0.884342,219.00,1570.0
0.886848,220.00,1576.2
0.889353,221.00,1582.3
0.891858,222.00,1588.5
0.894363,223.50,1597.7
0.896868,224.50,1603.9
0.899374,224.50,1603.9
0.901879,225.50,1610.1
0.904384,226.50,1616.2
0.906889,227.00,1619.3
0.909395,228.00,1625.5
0.911900,229.00,1631.6
0.914405,230.00,1637.8
0.916910,230.50,1640.9
0.919415,231.00,1644.0
0.921921,231.00,1644.0
0.924426,231.00,1644.0
0.926931,230.00,1637.8
0.929436,230.00,1637.8
0.931942,230.00,1637.8
0.934447,230.50,1640.9
0.936952,231.00,1644.0
0.939457,232.00,1650.1
0.941962,232.50,1653.2
0.944468,234.00,1662.5
0.946973,235.00,1668.6
0.949478,236.00,1674.8
0.951983,237.00,1681.0
0.954489,237.50,1684.0
0.956994,238.00,1687.1
0.959499,238.50,1690.2
0.962004,239.00,1693.3
0.964509,239.50,1696.4
0.967015,240.00,1699.5
0.969520,240.00,1699.5
0.972025,240.00,1699.5
0.974530,240.00,1699.5
0.977035,239.50,1696.4
0.979541,239.00,1693.3
0.982046,239.50,1696.4
0.984551,240.00,1699.5
0.987056,241.00,1705.6
0.989562,242.00,1711.8
0.992067,243.00,1717.9
0.994572,244.00,1724.1
0.997077,244.50,1727.2
0.999582,245.00,1730.3
1.002088,245.50,1733.4
1.004593,246.00,1736.4
1.007098,246.00,1736.4
1.009603,246.50,1739.5
1.012109,247.00,1742.6
1.014614,247.50,1745.7
1.017119,248.00,1748.8
1.019624,248.50,1751.8
1.022129,249.50,1758.0
1.024635,250.50,1764.2
1.027140,250.50,1764.2
1.029645,251.00,1767.3
1.032150,251.00,1767.3
1.034656,252.00,1773.4
1.037161,252.50,1776.5
1.039666,252.50,1776.5
1.042171,253.50,1782.7
1.044676,254.00,1785.8
1.047182,255.00,1791.9
1.049687,255.50,1795.0
1.052192,256.50,1801.2
1.054697,257.00,1804.2
1.057203,258.50,1813.5
1.059708,259.50,1819.7
1.062213,260.00,1822.7
1.064718,260.50,1825.8
1.067223,261.50,1832.0
1.069729,262.00,1835.1
1.072234,263.50,1844.3
1.074739,264.50,1850.5
1.077244,265.00,1853.6
1.079749,266.00,1859.7
1.082255,267.00,1865.9
1.084760,267.50,1869.0
1.087265,268.50,1875.1
1.089770,269.00,1878.2
1.092276,269.50,1881.3
1.094781,270.50,1887.5
1.097286,271.00,1890.5
1.099791,271.50,1893.6
1.102296,272.00,1896.7
1.104802,272.50,1899.8
